     	ε    	proc   	id    	(    	)    	{    	}    record  	;    	struct  	*    	=    	,    	int   	float  	bool   	char   	[    	num   	]    	if    	else   	do    	while  	call   	return  	Opens  	+    	real   	string  	||    	&&    	!    	true   	false  	<    	<=    	>    	>=    	==    	!=    	$    	P'    	P    	D    	A    	M    	T    	X    	C    	S    	MachedS 	OpenS  	L    	E    	G    	F    	B    	H    	I    	Relop  	Elist  
39    	--    	--    	s62   	s45   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s61   	--    	--    	--    	--    	--    	--    	--    	--    	--    	s63   	s64   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	40    	--    	--    	--    	--    	--    	
40    	--    	--    	--    	--    	--    	--    	--    	--    	r12   	--    	--    	s39   	s42   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	41    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
41    	--    	--    	--    	--    	--    	--    	--    	--    	r10   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
42    	--    	--    	s43   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
43    	--    	--    	--    	--    	--    	--    	--    	--    	r12   	--    	--    	s39   	s42   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	44    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
44    	--    	--    	--    	--    	--    	--    	--    	--    	r11   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
45    	--    	--    	s58   	s52   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s57   	--    	--    	--    	--    	--    	--    	--    	--    	--    	s59   	s60   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	46    	55    	56    	--    	--    	--    	--    	--    	
46    	--    	--    	--    	--    	s47   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s48   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
47    	--    	--    	--    	--    	--    	--    	--    	--    	r38   	--    	--    	r38   	r38   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
48    	--    	--    	s58   	s52   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s57   	--    	--    	--    	--    	--    	--    	--    	--    	--    	s59   	s60   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	49    	56    	--    	--    	--    	--    	--    	
